Date,Total_Away,Total_Home,Games,Avg_Points
2025-11-03,10642,15353,169,153.81656804733728
2025-11-04,2226,3209,36,150.97222222222223
2025-11-05,2019,3195,35,148.97142857142856
2025-11-06,2803,4002,44,154.6590909090909
2025-11-07,5030,6542,76,152.26315789473685
2025-11-08,4490,5932,68,153.26470588235293
2025-11-09,2225,2931,34,151.64705882352942
2025-11-10,2567,3617,40,154.6
2025-11-11,5354,6981,82,150.4268292682927
2025-11-12,3546,4711,54,152.90740740740742
2025-11-13,1742,2212,26,152.07692307692307
2025-11-14,3454,4068,50,150.44
2025-11-15,5803,6788,82,153.5487804878049
2025-11-16,2381,2739,34,150.58823529411765
2025-11-17,2218,2962,34,152.35294117647058
2025-11-18,4533,5766,68,151.4558823529412
2025-11-19,3446,4057,50,150.06
2025-11-20,2574,3275,38,153.92105263157896
2025-11-21,4895,5825,73,146.84931506849315
2025-11-22,3166,3787,45,154.51111111111112
2025-11-23,3097,3446,43,152.1627906976744
